ques_id,question
1,根据年度报告，2022年中国联通在向数字科技领军企业转变的过程中实现了哪些维度的转型升级？
2,告诉我2022年联通产业互联网收入的同比增长速度。
3,根据2022年度报告，中国联通的企业定位是什么？
4,2022年联通在“大联接”和“大数据”业务上取得了什么成果？
5,2022年上半年，联通在精品网络建设上有什么成果？
6,2022年半年度报告指出，半年间联通在科技创新中取得了哪三个收获？
7,2022年第一季度和第三季度报告中指出，中国联通应收账款发生变动的主要原因是什么？
8,2022年第一季度，中国联通财务指标中存货变动的主要原因是什么？
9,查询2022年年度报告或季度报告，介绍联通在北京冬奥会和冬残奥会上运用了哪些技术保障通信服务
10,2022年第一季度期末，中国联合网络通信集团有限公司的自有持股比例是多少？
11,介绍2022年联通董事会审计委员会的董事组成情况。
12,中国联通的股票代码是多少？
13,中国联通股票上市交易所是哪个？
14,根据年度报告摘要，中国联通2020年在国际网络建设方面取得了哪些成果？
15,帮我查询2020年中国联通在产业互联网业务上的收入情况。
16,我想知道中国联通2020年年度报告中介绍了哪些抗击新冠疫情、助力复工复产方面的工作？
17,2020年上半年，联通固网宽带的收入和用户数增长了多少？
18,2020年上半年，联通与哪些企业通过合资公司或联合实验室保持了战略合作？
19,2020年第三季度报告指出，联通如何应对疫情防控常态化造成的宽带组网和提速需求提升？
20,2019年底和2020年底，联通宽带端口总数分别为多少？
21,根据联通年度报告，2019年和2020年手机用户月户均数据流量分别为多少？
22,2019年中国联通对移动业务的发展策略做了什么调整?
23,2019年中国联通面向家庭用户规模推广了哪些智慧家庭产品？
24,《关于公司限制性股票激励计划首期授予方案实施预留授予的议案》在哪一天被审议通过？
25,根据信通院关于我国5G发展的白皮书，我国5G政策呈现出哪些特点？
26,5G推动了哪些新兴业态展现发展潜力？
27,2023年上半年，我国厂商在全球5G手机出货量中的市场份额有多少？
28,5G-A预计包含哪些版本？
29,2023年我国是如何持续完善重点网络安全制度要求的?
30,根据IDC数据，2022年全球数据总产量和过去五年平均增速分别是多少？
31,统计数据显示，2022年我国算力规模增长、数字经济和GDP名义分别增长多少？
32,我国区块链发展面临的主要挑战有哪些？
33,截至2023年12月，区块链企业的国家和地区分布方面，中国和美国分别有多少家区块链企业？
34,互联网平台责任逐步规范，平台发展法治环境日益优化，有哪几点体现？
35,联通资产运营公司亦庄驻地组吴永的座右铭是什么?
36,在2023年中国科协“创新达人”河南省评选活动中，南作获得了哪些荣耀？
37,面对云南省临沧市临翔区圈内乡斗阁村发生的一起森林火灾，中国联通省分公司是如何行动的？
38,广东联通志愿服务队在21个地市共开展“青春暖夕阳”专场活动有多少场？参与志愿者达到多少人次？
39,“云尚蓟州”平台提供的智能化的旅游服务有哪些？
40,“渔政核查核录”系统自正式上线以来识别率精度达到了多少且累计完成了多少次AI预警？
41,被大家称为“托举哥”的英雄是谁?
42,2024中国联通合作伙伴大会“人工智能赋能智慧车联网论坛”的主题是什么?
43,2023年义乌市出口额和进口额分别是多少？
44,中国联通智能城市研究院依托自研的璇玑“5G+北斗”时空基座，基于元景大模型构建的中国联通时空大模型具备哪些特色能力?
45,中国联通推出的“畅游欧洲，激情巴黎”出境漫游随心选活动，为用户提供了哪四种流量套餐选择?
46,“游新疆”小程序是谁打造的？
47,三苏文化大数据库的打造目的是什么？
48,中国联通在2024年世界智能产业博览会上的主题是什么？
49,中国联通的卡通形象“通通”的寓意是什么?
50,湖南联通在岳阳华容团洲垸决堤后采取了哪些行动来恢复通信？
51,中国联通经济社会智能孪生系统建设的三大核心特色是什么？
52,IDC MarketScape报告评估厂商的标准是什么？
53,中国联通旗下的哪两个企业入选了国资委“创建世界一流示范企业和专精特新示范企业”名单？
54,"中国联通人工智能创新发展论坛上,客户分享了元景大模型在哪些行业的应用案例？"
55,中国联通举办人工智能创新发展论坛的具体日期是什么时候？
56,紫金山实验室为什么要使用仿真平台进行有效性测试？
57,告诉我紫金山实验室在哪个城市？
58,中国联通董事长刘烈宏在2022年中国联通合作伙伴大会上提到的联通五大主责主业是什么？
59,2022年世界宽带论坛上，中国联通荣获了什么奖项？
60,国企改革三年行动的“三个明显成效”是什么？
61,中国联通董事长陈忠岳在2024中国联通合作伙伴大会上提出了哪些倡议？
62,联通在内蒙古智算中心上线的算力调度平台名称是什么？
63,新一轮国企改革深化提升行动的重点在哪些方面？
64,中国联通哪些项目荣获2023年“边缘计算技术创新先锋案例”？
65,中国联通“银龄跨越数字鸿沟专项行动”在哪些服务窗口为65岁以上客户提供了专属服务？
66,查一下2024年中国品牌日的主题和举办日期。
